,State,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,Predicted Value
70,AK,2016,July,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",13.0,100,0.0,13.0
71,AK,2016,July,12 month-ending,Number of Drug Overdose Deaths,143.0,100,0.0,143.0
72,AK,2016,June,12 month-ending,Cocaine (T40.5),11.0,100,0.0,11.0
73,AK,2016,June,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",102.0,100,0.0,102.0
74,AK,2016,June,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",76.0,100,0.0,76.0
75,AK,2016,June,12 month-ending,Psychostimulants with abuse potential (T43.6),37.0,100,0.0,38.0
76,AK,2016,June,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",69.0,100,0.0,69.0
77,AK,2016,June,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",12.0,100,0.0,12.0
78,AK,2016,June,12 month-ending,Methadone (T40.3),20.0,100,0.0,21.0
79,AK,2016,June,12 month-ending,Number of Drug Overdose Deaths,138.0,100,0.0,138.0
80,AK,2016,June,12 month-ending,Number of Deaths,4261.0,100,0.0,
81,AK,2016,June,12 month-ending,Percent with drugs specified,97.1014492753623,100,0.0,
82,AK,2016,June,12 month-ending,Natural & semi-synthetic opioids (T40.2),60.0,100,0.0,60.0
83,AK,2016,June,12 month-ending,Heroin (T40.1),40.0,100,0.0,40.0
84,AK,2016,March,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",90.0,100,0.0,90.0
85,AK,2016,March,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",64.0,100,0.0,64.0
86,AK,2016,March,12 month-ending,Methadone (T40.3),16.0,100,0.0,17.0
87,AK,2016,March,12 month-ending,Natural & semi-synthetic opioids (T40.2),57.0,100,0.0,57.0
88,AK,2016,March,12 month-ending,Psychostimulants with abuse potential (T43.6),31.0,100,0.0,32.0
89,AK,2016,March,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",72.0,100,0.0,72.0
90,AK,2016,March,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",12.0,100,0.0,12.0
91,AK,2016,March,12 month-ending,Cocaine (T40.5),,100,0.0,
92,AK,2016,March,12 month-ending,Percent with drugs specified,92.8,100,0.0,
93,AK,2016,March,12 month-ending,Number of Deaths,4230.0,100,0.0,
94,AK,2016,March,12 month-ending,Number of Drug Overdose Deaths,125.0,100,0.0,125.0
95,AK,2016,March,12 month-ending,Heroin (T40.1),38.0,100,0.0,38.0
96,AK,2016,May,12 month-ending,Cocaine (T40.5),11.0,100,0.0,11.0
97,AK,2016,May,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",103.0,100,0.0,103.0
98,AK,2016,May,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",11.0,100,0.0,11.0
99,AK,2016,May,12 month-ending,Methadone (T40.3),17.0,100,0.0,18.0
100,AK,2016,May,12 month-ending,Psychostimulants with abuse potential (T43.6),39.0,100,0.0,40.0
101,AK,2016,May,12 month-ending,Percent with drugs specified,95.7142857142857,100,0.0,
102,AK,2016,May,12 month-ending,Number of Deaths,4241.0,100,0.0,
103,AK,2016,May,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",77.0,100,0.0,77.0
104,AK,2016,May,12 month-ending,Natural & semi-synthetic opioids (T40.2),63.0,100,0.0,63.0
105,AK,2016,May,12 month-ending,Heroin (T40.1),44.0,100,0.0,44.0
106,AK,2016,May,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",70.0,100,0.0,70.0
107,AK,2016,May,12 month-ending,Number of Drug Overdose Deaths,140.0,100,0.0,140.0
108,AK,2016,November,12 month-ending,Number of Deaths,4289.0,100,0.069946374446258,
109,AK,2016,November,12 month-ending,Natural & semi-synthetic opioids (T40.2),51.0,100,0.069946374446258,52.0
110,AK,2016,November,12 month-ending,Heroin (T40.1),45.0,100,0.069946374446258,46.0
111,AK,2016,November,12 month-ending,Percent with drugs specified,97.7443609022556,100,0.069946374446258,
112,AK,2016,November,12 month-ending,Number of Drug Overdose Deaths,133.0,100,0.069946374446258,134.0
113,AK,2016,November,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",59.0,100,0.069946374446258,60.0
114,AK,2016,November,12 month-ending,Psychostimulants with abuse potential (T43.6),45.0,100,0.069946374446258,46.0
115,AK,2016,November,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",,100,0.069946374446258,
116,AK,2016,November,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",99.0,100,0.069946374446258,100.0
117,AK,2016,November,12 month-ending,Methadone (T40.3),15.0,100,0.069946374446258,16.0
118,AK,2016,November,12 month-ending,Cocaine (T40.5),15.0,100,0.069946374446258,16.0
119,AK,2016,November,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",64.0,100,0.069946374446258,65.0
120,AK,2016,October,12 month-ending,Number of Deaths,4291.0,100,0.069913773013284,
121,AK,2016,October,12 month-ending,Percent with drugs specified,96.9465648854962,100,0.069913773013284,
122,AK,2016,October,12 month-ending,Natural & semi-synthetic opioids (T40.2),53.0,100,0.069913773013284,54.0
123,AK,2016,October,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",64.0,100,0.069913773013284,65.0
124,AK,2016,October,12 month-ending,Psychostimulants with abuse potential (T43.6),44.0,100,0.069913773013284,45.0
125,AK,2016,October,12 month-ending,Methadone (T40.3),15.0,100,0.069913773013284,16.0
126,AK,2016,October,12 month-ending,Number of Drug Overdose Deaths,131.0,100,0.069913773013284,132.0
127,AK,2016,October,12 month-ending,Heroin (T40.1),38.0,100,0.069913773013284,39.0
128,AK,2016,October,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",60.0,100,0.069913773013284,61.0
129,AK,2016,October,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",94.0,100,0.069913773013284,95.0
130,AK,2016,October,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",,100,0.069913773013284,
131,AK,2016,October,12 month-ending,Cocaine (T40.5),13.0,100,0.069913773013284,14.0
132,AK,2016,September,12 month-ending,Psychostimulants with abuse potential (T43.6),42.0,100,0.046992481203008,43.0
133,AK,2016,September,12 month-ending,Natural & semi-synthetic opioids (T40.2),54.0,100,0.046992481203008,55.0
134,AK,2016,September,12 month-ending,Number of Deaths,4256.0,100,0.046992481203008,
135,AK,2016,September,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",10.0,100,0.046992481203008,11.0
136,AK,2016,September,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",96.0,100,0.046992481203008,97.0
137,AK,2016,September,12 month-ending,Methadone (T40.3),17.0,100,0.046992481203008,18.0
138,AK,2016,September,12 month-ending,Percent with drugs specified,96.9465648854962,100,0.046992481203008,
139,AK,2016,September,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",62.0,100,0.046992481203008,63.0
140,AK,2016,September,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",68.0,100,0.046992481203008,69.0
141,AK,2016,September,12 month-ending,Heroin (T40.1),37.0,100,0.046992481203008,38.0
142,AK,2016,September,12 month-ending,Number of Drug Overdose Deaths,131.0,100,0.046992481203008,132.0
143,AK,2016,September,12 month-ending,Cocaine (T40.5),11.0,100,0.046992481203008,12.0
144,AK,2017,April,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",35.0,100,0.069364161849711,36.0
145,AK,2017,April,12 month-ending,Natural & semi-synthetic opioids (T40.2),30.0,100,0.069364161849711,31.0
146,AK,2017,April,12 month-ending,Psychostimulants with abuse potential (T43.6),52.0,100,0.069364161849711,53.0
147,AK,2017,April,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",12.0,100,0.069364161849711,13.0
148,AK,2017,April,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",78.0,100,0.069364161849711,79.0
149,AK,2017,April,12 month-ending,Percent with drugs specified,97.4358974358974,100,0.069364161849711,
150,AK,2017,April,12 month-ending,Number of Deaths,4325.0,100,0.069364161849711,
151,AK,2017,April,12 month-ending,Methadone (T40.3),,100,0.069364161849711,
152,AK,2017,April,12 month-ending,Heroin (T40.1),43.0,100,0.069364161849711,44.0
153,AK,2017,April,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",44.0,100,0.069364161849711,45.0
154,AK,2017,April,12 month-ending,Number of Drug Overdose Deaths,117.0,100,0.069364161849711,118.0
155,AK,2017,April,12 month-ending,Cocaine (T40.5),16.0,100,0.069364161849711,17.0
156,AK,2017,August,12 month-ending,Heroin (T40.1),46.0,100,0.04723665564478,47.0
157,AK,2017,August,12 month-ending,Number of Drug Overdose Deaths,137.0,100,0.04723665564478,138.0
158,AK,2017,August,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",29.0,100,0.04723665564478,30.0
159,AK,2017,August,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",99.0,100,0.04723665564478,100.0
160,AK,2017,August,12 month-ending,Number of Deaths,4234.0,100,0.04723665564478,
161,AK,2017,August,12 month-ending,Methadone (T40.3),,100,0.04723665564478,
162,AK,2017,August,12 month-ending,Natural & semi-synthetic opioids (T40.2),44.0,100,0.04723665564478,45.0
163,AK,2017,August,12 month-ending,Cocaine (T40.5),21.0,100,0.04723665564478,22.0
164,AK,2017,August,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",48.0,100,0.04723665564478,49.0
165,AK,2017,August,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",68.0,100,0.04723665564478,69.0
166,AK,2017,August,12 month-ending,Psychostimulants with abuse potential (T43.6),64.0,100,0.04723665564478,65.0
167,AK,2017,August,12 month-ending,Percent with drugs specified,97.0802919708029,100,0.04723665564478,
168,AK,2017,December,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",100.0,100,0.0,100.0
169,AK,2017,December,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",37.0,100,0.0,37.0
170,AK,2017,December,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",50.0,100,0.0,50.0
171,AK,2017,December,12 month-ending,Percent with drugs specified,97.16312056737593,100,0.0,
172,AK,2017,December,12 month-ending,Natural & semi-synthetic opioids (T40.2),46.0,100,0.0,46.0
173,AK,2017,December,12 month-ending,Number of Deaths,4279.0,100,0.0,
174,AK,2017,December,12 month-ending,Psychostimulants with abuse potential (T43.6),64.0,100,0.0,65.0
175,AK,2017,December,12 month-ending,Heroin (T40.1),36.0,100,0.0,36.0
176,AK,2017,December,12 month-ending,Methadone (T40.3),,100,0.0,
177,AK,2017,December,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",75.0,100,0.0,75.0
178,AK,2017,December,12 month-ending,Cocaine (T40.5),18.0,100,0.0,18.0
179,AK,2017,December,12 month-ending,Number of Drug Overdose Deaths,141.0,100,0.0,141.0
180,AK,2017,February,12 month-ending,Natural & semi-synthetic opioids (T40.2),36.0,100,0.069013112491373,37.0
181,AK,2017,February,12 month-ending,Percent with drugs specified,98.3870967741936,100,0.069013112491373,
182,AK,2017,February,12 month-ending,Psychostimulants with abuse potential (T43.6),54.0,100,0.069013112491373,55.0
183,AK,2017,February,12 month-ending,Number of Deaths,4347.0,100,0.069013112491373,
184,AK,2017,February,12 month-ending,Number of Drug Overdose Deaths,124.0,100,0.069013112491373,125.0
185,AK,2017,February,12 month-ending,Methadone (T40.3),,100,0.069013112491373,10.0
186,AK,2017,February,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",42.0,100,0.069013112491373,43.0
187,AK,2017,February,12 month-ending,Heroin (T40.1),49.0,100,0.069013112491373,50.0
188,AK,2017,February,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",11.0,100,0.069013112491373,12.0
189,AK,2017,February,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",90.0,100,0.069013112491373,91.0
190,AK,2017,February,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",50.0,100,0.069013112491373,51.0
191,AK,2017,February,12 month-ending,Cocaine (T40.5),18.0,100,0.069013112491373,19.0
192,AK,2017,January,12 month-ending,Number of Deaths,4374.0,100,0.068587105624143,
193,AK,2017,January,12 month-ending,Psychostimulants with abuse potential (T43.6),55.0,100,0.068587105624143,56.0
194,AK,2017,January,12 month-ending,Methadone (T40.3),11.0,100,0.068587105624143,12.0
195,AK,2017,January,12 month-ending,Number of Drug Overdose Deaths,126.0,100,0.068587105624143,127.0
196,AK,2017,January,12 month-ending,Natural & semi-synthetic opioids (T40.2),40.0,100,0.068587105624143,41.0
197,AK,2017,January,12 month-ending,Percent with drugs specified,99.2063492063492,100,0.068587105624143,
198,AK,2017,January,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",10.0,100,0.068587105624143,11.0
199,AK,2017,January,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",47.0,100,0.068587105624143,48.0
200,AK,2017,January,12 month-ending,Heroin (T40.1),50.0,100,0.068587105624143,51.0
201,AK,2017,January,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",93.0,100,0.068587105624143,94.0
202,AK,2017,January,12 month-ending,Cocaine (T40.5),15.0,100,0.068587105624143,16.0
203,AK,2017,January,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",54.0,100,0.068587105624143,55.0
204,AK,2017,July,12 month-ending,Heroin (T40.1),44.0,100,0.07082152974504201,45.0
205,AK,2017,July,12 month-ending,Number of Drug Overdose Deaths,128.0,100,0.07082152974504201,129.0
206,AK,2017,July,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",91.0,100,0.07082152974504201,92.0
207,AK,2017,July,12 month-ending,Number of Deaths,4236.0,100,0.07082152974504201,
208,AK,2017,July,12 month-ending,Natural & semi-synthetic opioids (T40.2),40.0,100,0.07082152974504201,41.0
209,AK,2017,July,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",27.0,100,0.07082152974504201,28.0
210,AK,2017,July,12 month-ending,Cocaine (T40.5),20.0,100,0.07082152974504201,21.0
211,AK,2017,July,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",63.0,100,0.07082152974504201,64.0
212,AK,2017,July,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",44.0,100,0.07082152974504201,45.0
213,AK,2017,July,12 month-ending,Psychostimulants with abuse potential (T43.6),59.0,100,0.07082152974504201,60.0
214,AK,2017,July,12 month-ending,Percent with drugs specified,97.65625,100,0.07082152974504201,
215,AK,2017,July,12 month-ending,Methadone (T40.3),,100,0.07082152974504201,
216,AK,2017,June,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",24.0,100,0.070159027128157,25.0
217,AK,2017,June,12 month-ending,Number of Deaths,4276.0,100,0.070159027128157,
218,AK,2017,June,12 month-ending,Heroin (T40.1),42.0,100,0.070159027128157,43.0
219,AK,2017,June,12 month-ending,Psychostimulants with abuse potential (T43.6),54.0,100,0.070159027128157,55.0
220,AK,2017,June,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",85.0,100,0.070159027128157,86.0
221,AK,2017,June,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",40.0,100,0.070159027128157,41.0
222,AK,2017,June,12 month-ending,Number of Drug Overdose Deaths,122.0,100,0.070159027128157,123.0
223,AK,2017,June,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",57.0,100,0.070159027128157,58.0
224,AK,2017,June,12 month-ending,Percent with drugs specified,96.72131147540979,100,0.070159027128157,
225,AK,2017,June,12 month-ending,Methadone (T40.3),,100,0.070159027128157,
226,AK,2017,June,12 month-ending,Cocaine (T40.5),20.0,100,0.070159027128157,21.0
227,AK,2017,June,12 month-ending,Natural & semi-synthetic opioids (T40.2),35.0,100,0.070159027128157,36.0
228,AK,2017,March,12 month-ending,Natural & semi-synthetic opioids (T40.2),35.0,100,0.06882312456985601,36.0
229,AK,2017,March,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",41.0,100,0.06882312456985601,42.0
230,AK,2017,March,12 month-ending,Psychostimulants with abuse potential (T43.6),55.0,100,0.06882312456985601,56.0
231,AK,2017,March,12 month-ending,Number of Deaths,4359.0,100,0.06882312456985601,
232,AK,2017,March,12 month-ending,Number of Drug Overdose Deaths,126.0,100,0.06882312456985601,127.0
233,AK,2017,March,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",11.0,100,0.06882312456985601,12.0
234,AK,2017,March,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",87.0,100,0.06882312456985601,88.0
235,AK,2017,March,12 month-ending,Methadone (T40.3),,100,0.06882312456985601,10.0
236,AK,2017,March,12 month-ending,Cocaine (T40.5),19.0,100,0.06882312456985601,20.0
237,AK,2017,March,12 month-ending,Heroin (T40.1),47.0,100,0.06882312456985601,48.0
238,AK,2017,March,12 month-ending,Percent with drugs specified,98.4126984126984,100,0.06882312456985601,
239,AK,2017,March,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",49.0,100,0.06882312456985601,50.0
240,AK,2017,May,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",39.0,100,0.07014262333411299,40.0
241,AK,2017,May,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",21.0,100,0.07014262333411299,22.0
242,AK,2017,May,12 month-ending,Number of Deaths,4277.0,100,0.07014262333411299,
243,AK,2017,May,12 month-ending,Percent with drugs specified,96.6666666666667,100,0.07014262333411299,
244,AK,2017,May,12 month-ending,Psychostimulants with abuse potential (T43.6),52.0,100,0.07014262333411299,53.0
245,AK,2017,May,12 month-ending,Heroin (T40.1),40.0,100,0.07014262333411299,41.0
246,AK,2017,May,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",53.0,100,0.07014262333411299,54.0
247,AK,2017,May,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",81.0,100,0.07014262333411299,82.0
248,AK,2017,May,12 month-ending,Methadone (T40.3),10.0,100,0.07014262333411299,11.0
249,AK,2017,May,12 month-ending,Number of Drug Overdose Deaths,120.0,100,0.07014262333411299,121.0
250,AK,2017,May,12 month-ending,Cocaine (T40.5),18.0,100,0.07014262333411299,19.0
251,AK,2017,May,12 month-ending,Natural & semi-synthetic opioids (T40.2),32.0,100,0.07014262333411299,33.0
252,AK,2017,November,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",97.0,100,0.0,97.0
253,AK,2017,November,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",33.0,100,0.0,33.0
254,AK,2017,November,12 month-ending,Percent with drugs specified,97.1014492753623,100,0.0,
255,AK,2017,November,12 month-ending,Methadone (T40.3),,100,0.0,
256,AK,2017,November,12 month-ending,Number of Deaths,4308.0,100,0.0,
257,AK,2017,November,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",47.0,100,0.0,47.0
258,AK,2017,November,12 month-ending,Number of Drug Overdose Deaths,138.0,100,0.0,138.0
259,AK,2017,November,12 month-ending,Natural & semi-synthetic opioids (T40.2),43.0,100,0.0,43.0
260,AK,2017,November,12 month-ending,Heroin (T40.1),38.0,100,0.0,38.0
261,AK,2017,November,12 month-ending,Psychostimulants with abuse potential (T43.6),67.0,100,0.0,68.0
262,AK,2017,November,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",70.0,100,0.0,70.0
263,AK,2017,November,12 month-ending,Cocaine (T40.5),17.0,100,0.0,17.0
264,AK,2017,October,12 month-ending,Percent with drugs specified,97.2222222222222,100,0.0,
265,AK,2017,October,12 month-ending,Methadone (T40.3),,100,0.0,
266,AK,2017,October,12 month-ending,Heroin (T40.1),46.0,100,0.0,46.0
267,AK,2017,October,12 month-ending,Number of Drug Overdose Deaths,144.0,100,0.0,144.0
268,AK,2017,October,12 month-ending,Number of Deaths,4283.0,100,0.0,
269,AK,2017,October,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",33.0,100,0.0,33.0
